Run Index,Seed,Center,Time,E[T_S],E[N_S],E[T_Q],E[N_Q]
23,1517832035,Ricarica,12747.891642610597,4728.1486801606425,1.4835860902226436,0.0,0.0
23,1517832035,Ricarica,12860.338806996813,3849.9872427602436,1.4968451844618644,0.0,0.0
23,1517832035,Ricarica,13729.145367961075,4197.509867145948,1.5286857829262404,0.0,0.0
23,1517832035,Ricarica,14069.324018644194,3668.01421462985,1.5642603197292724,0.0,0.0
23,1517832035,Ricarica,14703.028240725307,3879.248955323554,1.583040809747716,0.0,0.0
23,1517832035,Ricarica,14833.77956206946,3381.1068137105403,1.5955304982752418,0.0,0.0
23,1517832035,Ricarica,14930.13587714919,3408.6371894476065,1.598140869076219,0.0,0.0
23,1517832035,Ricarica,17990.72504493389,4130.278478685917,1.8366256916806079,0.0,0.0
23,1517832035,Ricarica,18184.186381888976,3714.350055933057,1.8383638289526203,0.0,0.0
23,1517832035,Ricarica,22163.95139742926,4156.546168770866,1.6878269965560724,0.0,0.0
23,1517832035,Ricarica,23380.15967518859,4426.814674939606,1.7040658672975928,0.0,0.0
23,1517832035,Ricarica,24877.76857031767,4433.4158759843685,1.782079394883509,0.0,0.0
23,1517832035,Ricarica,25545.084422285952,4566.879046378026,1.787772148599284,0.0,0.0
23,1517832035,Ricarica,26093.29420527325,4301.21998297656,1.813240575932359,0.0,0.0
23,1517832035,Ricarica,26693.781206494925,4042.8661512654585,1.8174418018898482,0.0,0.0
23,1517832035,Ricarica,28300.103947897118,4176.726379715641,1.7710435498351584,0.0,0.0
23,1517832035,Ricarica,30067.39023078206,4127.329932489045,1.7845010395157928,0.0,0.0
23,1517832035,Ricarica,30470.38559279308,3861.3060345977574,1.774125382159738,0.0,0.0
23,1517832035,Ricarica,32578.56854900541,3861.3060345977574,1.6593204334024967,0.0,0.0
23,1517832035,Ricarica,34786.513332553324,4019.0163762797515,1.6174725167199326,0.0,0.0
23,1517832035,Ricarica,34961.1781857031,3774.3705982810716,1.6193836109724769,0.0,0.0
23,1517832035,Ricarica,36210.806898227886,3616.5742304213036,1.5980087891820138,0.0,0.0
23,1517832035,Ricarica,38256.128063208664,3616.5742304213036,1.5125730338191345,0.0,0.0
23,1517832035,Ricarica,38622.25633376292,3425.3715268997125,1.5077139837216162,0.0,0.0
23,1517832035,Ricarica,40345.35976099454,3425.3715268997125,1.4433212716965909,0.0,0.0
23,1517832035,Ricarica,42943.590117146065,3578.2086066733314,1.4164988569309032,0.0,0.0
23,1517832035,Ricarica,43208.49222965259,3609.373561085864,1.42007617882928,0.0,0.0
23,1517832035,Ricarica,43406.369913951145,3644.2931524326673,1.4272786163452746,0.0,0.0
23,1517832035,Ricarica,44727.87732510801,3735.5007353323795,1.5032909509040837,0.0,0.0
23,1517832035,Ricarica,44941.55490294893,3572.6339983950297,1.510407152491546,0.0,0.0
23,1517832035,Ricarica,44949.82044814653,3394.8288529950382,1.510497180700094,0.0,0.0
