Seed,Center,Completion Time,Taken Time
1768028919,Parcheggio,52222.9402465554,57845.97989355909
1768028919,Parcheggio,52260.5363482785,58012.323233323266
1768028919,Parcheggio,52528.23822392046,58210.45337998286
1768028919,Parcheggio,52568.77952864045,58873.41515820113
1768028919,Ricarica,52751.470740877536,59164.05280735472
1768028919,Parcheggio,52751.470740877536,59219.03582046539
1768028919,Parcheggio,52873.97912274648,59472.34661270988
1768028919,Parcheggio,53201.97886367172,59894.44843706955
1768028919,Parcheggio,53204.5917319504,60187.303784843825
1768028919,Parcheggio,53280.05609435018,60219.48762114733
1768028919,Parcheggio,53395.748810497105,60365.93510381926
1768028919,Ricarica,53604.41318444495,60517.9373544277
1768028919,Parcheggio,53604.41318444495,61250.98332630622
1768028919,Parcheggio,53721.89695342984,61358.92971651992
1768028919,Parcheggio,53875.48083870546,61536.85248557066
1768028919,Parcheggio,54535.37534689824,61621.49271530536
1768028919,Parcheggio,54789.50288809004,61744.84759501405
1768028919,Parcheggio,54983.093131464695,62245.73355354201
1768028919,Parcheggio,55080.61804398583,62579.21508246386
1768028919,Parcheggio,55205.81198519812,62719.2614722101
1768028919,Ricarica,55546.26804981924,62905.879083390035
1768028919,Parcheggio,55546.26804981924,63007.64185876181
1768028919,Parcheggio,55754.44432083398,63941.76710245364
1768028919,Parcheggio,55957.88151074559,64273.14759119253
1768028919,Parcheggio,56589.48923704864,64687.99207001329
1768028919,Parcheggio,56701.97899166765,64750.45167535857
1768028919,Ricarica,57395.721318931115,65158.04386943324
1768028919,Parcheggio,57395.721318931115,65781.36840072047
1768028919,Parcheggio,57692.71814561871,66473.25154760502
1768028919,Ricarica,58416.354193567226,66823.7360113367
1768028919,Parcheggio,58416.354193567226,67017.32910327632
1768028919,Parcheggio,58723.9090282001,67634.11187239294
1768028919,Parcheggio,58784.91268317194,67954.26260926054
1768028919,Ricarica,61206.057622385975,68005.74150416312
1768028919,Ricarica,61206.057622385975,68165.57785976282
1768028919,Parcheggio,61206.057622385975,68404.58667173513
1768028919,Parcheggio,61941.02388638997,68729.6658451855
1768028919,Parcheggio,61998.87780259428,68814.65292204356
1768028919,Parcheggio,62045.838668351826,68969.06351539979
1768028919,Parcheggio,62679.159517528664,69149.49439402665
1768028919,Parcheggio,62717.096449720564,69271.97871429648
1768028919,Parcheggio,62752.6153686861,69795.41054410358
1768028919,Parcheggio,62801.02575181379,70026.40117191312
1768028919,Ricarica,63279.72115783506,70092.57168653017
1768028919,Parcheggio,63279.72115783506,70388.46516083501
1768028919,Parcheggio,63449.03962690246,70514.26360964333
1768028919,Parcheggio,63625.6548990266,70656.51675612599
1768028919,Parcheggio,63926.67421607603,70753.10652472114
1768028919,Parcheggio,64162.23176030103,71445.64951011556
1768028919,Parcheggio,64179.87567927552,71534.10988393487
1768028919,Parcheggio,64248.503957496316,71565.29820365805
1768028919,Parcheggio,64489.39003581708,71655.57965281633
1768028919,Parcheggio,64749.012278845956,71861.55688172391
1768028919,Parcheggio,65223.770535304975,72263.0337564761
1768028919,Parcheggio,65245.70586617257,72410.47536333818
1768028919,Parcheggio,66098.04521787049,72568.8128981124
1768028919,Ricarica,66770.96290799844,72874.55566350222
1768028919,Parcheggio,66770.96290799844,73343.1096453502
1768028919,Parcheggio,66790.15535570806,73423.64325571126
1768028919,Parcheggio,66833.78384826417,73681.82495563487
1768028919,Parcheggio,67792.0324578887,74407.55222085565
1768028919,Parcheggio,68676.39289768465,74836.43656465021
1768028919,Parcheggio,68966.43625233238,75436.61204564958
1768028919,Parcheggio,69432.67293879858,75452.21544291168
1768028919,Parcheggio,69972.61018575318,75639.97309719924
1768028919,Parcheggio,70247.13938317819,75897.8205743803
1768028919,Parcheggio,70351.40357688216,75948.51715248999
1768028919,Parcheggio,70353.20627513954,76033.12292957032
1768028919,Parcheggio,70526.48843962171,76084.04051129933
1768028919,Parcheggio,70836.34336953216,76279.21910837448
1768028919,Parcheggio,70958.48147733646,76397.48952309543
1768028919,Parcheggio,71646.68548477042,77073.23210498081
1768028919,Parcheggio,71898.68270722419,77208.25284383007
1768028919,Parcheggio,72013.90482413217,77267.47832192674
1768028919,Parcheggio,72130.74914758488,77911.6231570512
1768028919,Parcheggio,72251.31622519509,77957.66098254446
1768028919,Parcheggio,72301.27665300082,78042.45389356163
1768028919,Parcheggio,73152.56273584849,78632.55028831633
1768028919,Parcheggio,73191.89231570663,79699.5159050257
1768028919,Parcheggio,73583.53848447301,79867.68054702006
1768028919,Parcheggio,74060.41053085272,79972.66751489192
1768028919,Parcheggio,74219.86164411792,80476.34069446953
1768028919,Parcheggio,74302.00223969304,80875.55086485435
1768028919,Parcheggio,74308.50689830164,81008.89641695711
1768028919,Parcheggio,74491.86648941936,81357.70004975193
1768028919,Parcheggio,75570.69604648899,81421.04100463318
1768028919,Parcheggio,76118.33968790827,81815.94144356808
1768028919,Parcheggio,76212.41727458699,82247.50825770943
1768028919,Parcheggio,76664.83405493948,82644.92006403892
1768028919,Parcheggio,76677.90394791655,82962.35334263752
1768028919,Parcheggio,76680.16395624758,83244.32021888724
1768028919,Parcheggio,76844.11921205676,84008.50844739817
1768028919,Parcheggio,77339.71172516135,84170.056333194
1768028919,Parcheggio,77601.13620317732,84567.50028886923
1768028919,Ricarica,78103.21921469488,84576.08236179629
1768028919,Parcheggio,78103.21921469488,84691.66195752175
1768028919,Parcheggio,78713.00851562669,85034.30250369447
1768028919,Parcheggio,78851.86544209335,85128.11539785964
1768028919,Parcheggio,79047.72322815383,85392.00328026908
1768028919,Parcheggio,79073.061727947,85618.47754714832
1768028919,Parcheggio,79335.78935598928,85674.89475344434
1768028919,Parcheggio,79963.37963616429,85754.65642823747
1768028919,Parcheggio,80286.47011334923,85956.783308622
1768028919,Parcheggio,80726.23017681067,86728.28504365527
519244943,Parcheggio,1158.4222837210739,3526.3708491067546
519244943,Parcheggio,2229.9197764463247,4018.2839701921
519244943,Parcheggio,2635.7285417763687,4538.840849902093
519244943,Parcheggio,3057.4994976767416,4568.1059421109885
519244943,Parcheggio,3833.1961140117032,4756.095107214959
519244943,Parcheggio,3900.684618211137,4958.551938129314
519244943,Parcheggio,4249.963971691208,6048.194442443515
519244943,Ricarica,4722.398091230768,6058.614742914084
519244943,Parcheggio,4722.398091230768,6685.972505462166
519244943,Parcheggio,5246.851132245911,6971.622650426137
519244943,Parcheggio,5418.518430627802,6983.063702462344
519244943,Parcheggio,5461.253479860889,7066.307330572968
519244943,Parcheggio,5610.670318520129,7254.514985078415
519244943,Parcheggio,5650.655795594796,7349.236041258399
519244943,Ricarica,6310.784161125586,7460.2566816906365
519244943,Parcheggio,6310.784161125586,8101.289624551301
519244943,Parcheggio,6394.3472447774475,8228.739192408311
519244943,Parcheggio,6549.935891617617,8484.108172115579
519244943,Parcheggio,6741.906888706174,8769.585129032355
519244943,Ricarica,7178.645796671567,8868.350007886776
519244943,Parcheggio,7178.645796671567,9161.513492964654
519244943,Parcheggio,7554.267072896313,9604.135915065317
519244943,Parcheggio,7667.9064920415985,9645.108440158449
519244943,Parcheggio,7706.708905777164,9725.987562422533
519244943,Parcheggio,7842.1341595004515,9743.908759652899
519244943,Parcheggio,8640.931700667767,9789.646716678984
519244943,Parcheggio,8840.894594614845,10339.271103589901
519244943,Ricarica,9134.091375098937,10762.624579061865
519244943,Parcheggio,9134.091375098937,11307.091397711278
519244943,Ricarica,9958.178261322371,11763.912712624324
519244943,Parcheggio,9958.178261322371,11928.500554612066
519244943,Parcheggio,10083.058315195145,12366.137114231384
519244943,Parcheggio,10216.431832557977,12562.926042486191
519244943,Parcheggio,10233.124494788091,12611.393749905425
519244943,Parcheggio,10423.602865526582,12696.047863989581
519244943,Parcheggio,10679.957460077552,12702.704846148845
519244943,Parcheggio,11064.240672936528,12824.587985299573
519244943,Ricarica,11642.46588356473,13006.210508400074
519244943,Parcheggio,11642.46588356473,13074.909871445103
519244943,Parcheggio,12134.882982326677,13361.144504433058
519244943,Parcheggio,12266.315707758153,13465.93689991215
519244943,Parcheggio,12402.903937634626,13647.19806970968
519244943,Parcheggio,12579.31576297975,13825.533072255612
519244943,Parcheggio,12784.927695487127,14452.063797970177
519244943,Parcheggio,13460.391473061316,14501.390198631723
519244943,Parcheggio,13665.648541622413,14801.442985172685
519244943,Parcheggio,13669.903893472254,14874.376290992628
519244943,Parcheggio,13832.624052925674,15174.645200262452
519244943,Parcheggio,13837.750675388039,15175.220976470573
519244943,Parcheggio,13880.060517995875,15418.43825194334
519244943,Ricarica,14007.839194030154,15905.876083451463
519244943,Parcheggio,14007.839194030154,16617.107879499283
519244943,Parcheggio,14310.404413103919,16641.159717523813
519244943,Parcheggio,14576.199706084984,17538.739283989496
519244943,Parcheggio,14671.566307293027,17572.872865201498
519244943,Parcheggio,14716.80480315819,17671.253828444995
519244943,Ricarica,15191.170188774599,17720.03703176044
519244943,Parcheggio,15191.170188774599,17880.51562015815
519244943,Parcheggio,15400.75559975875,17925.719457931697
519244943,Parcheggio,16116.568510741223,19192.395811276416
519244943,Parcheggio,16154.86302131399,19200.867559834496
519244943,Parcheggio,16960.82431513875,19221.22957906527
519244943,Parcheggio,17306.167418135836,19498.251127462518
519244943,Parcheggio,17779.58693747569,19694.866689798964
519244943,Parcheggio,18020.42746234334,20026.586927673554
519244943,Parcheggio,18474.4064366282,20600.396781203362
519244943,Parcheggio,18538.70740017608,20699.66373195118
519244943,Parcheggio,18687.593015951134,21059.707984857712
519244943,Parcheggio,18725.51063141654,21123.590941264727
519244943,Parcheggio,18774.59342874282,21464.676345720985
519244943,Parcheggio,18948.40199333127,22098.62443837004
519244943,Parcheggio,19003.234769795006,22215.26637446267
519244943,Parcheggio,19007.14319527884,22639.16569720444
519244943,Parcheggio,19186.124040001454,22719.606045727385
519244943,Parcheggio,19973.267258091324,22751.917625120343
519244943,Ricarica,20836.778963229768,23312.593547929595
519244943,Parcheggio,20836.778963229768,23401.1402307506
519244943,Ricarica,21259.708088591527,23511.50299752997
519244943,Parcheggio,21259.708088591527,23839.435027560565
519244943,Parcheggio,21410.990766378334,24002.01911350973
